ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
HOLX,97.54,0.83,1.95,221.22,10,0,0,Neutral,70,Strong Institutional Support
HON,81.88,0.11,1.85,603.33,10,0,0,Neutral,70,Strong Institutional Support
HPE,92.93,0.44,7.18,1327.89,10,0,0,Neutral,65,Institutional Support
HPQ,85.64,0.23,12.71,914.89,10,0,0,Neutral,55,Institutional Support
HRL,91.13,0.45,6.76,290.61,10,0,0,Neutral,65,Institutional Support
HSIC,110.6,0.89,5.02,98.18,10,0,0,Neutral,65,Institutional Support
HST,109.3,1.38,7.56,641.44,10,0,0,Neutral,65,Institutional Support
HSY,88.54,0.35,7.68,145.29,10,0,0,Neutral,65,Institutional Support
HUBB,97.27,0.39,6.44,52.64,10,0,0,Neutral,65,Institutional Support
HUM,98.49,0.21,5.7,120.03,10,0,0,Neutral,65,Institutional Support
HWM,94.4,1.14,3.8,397.95,10,0,0,Neutral,65,Institutional Support
IBM,64.28,0.12,2.36,934.36,10,0,0,Neutral,65,Institutional Support
ICE,94.58,0.92,1.38,566.11,10,0,0,Neutral,70,Strong Institutional Support
IDXX,95.01,0.68,3.14,79.04,10,0,0,Neutral,65,Institutional Support
IEX,104.79,0.24,4.13,74.58,10,0,0,Neutral,65,Institutional Support
IFF,97.64,1.97,3.87,255.53,10,0,0,Neutral,65,Institutional Support
ILMN,105.67,0.19,6.6,148.55,10,0,0,Neutral,65,Institutional Support
INCY,105.7,1.89,7.75,164.31,10,0,0,Neutral,65,Institutional Support
INTC,60.82,1.81,2.68,4986.66,10,0,0,Neutral,65,Institutional Support
INTU,91.16,2.33,2.1,272.16,10,0,0,Neutral,70,Strong Institutional Support
INVH,103.41,0.31,3.92,559.25,10,0,0,Neutral,65,Institutional Support
IP,105.42,0.34,12.33,525.13,10,0,0,Neutral,55,Institutional Support
IPG,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
IQV,100.52,0.99,2.85,161.7,10,0,0,Neutral,70,Strong Institutional Support
IR,106.27,0.26,6.07,393.9,10,0,0,Neutral,65,Institutional Support
IRM,88.18,0.78,4.2,292.99,10,0,0,Neutral,65,Institutional Support
ISRG,88.8,0.54,2.02,352.99,10,0,0,Neutral,70,Strong Institutional Support
IT,107.85,3.28,7.61,69.62,10,0,0,Neutral,65,Institutional Support
ITW,84.9,0.34,2.66,262.57,10,0,0,Neutral,70,Strong Institutional Support
IVZ,96.11,0.65,5.78,332.81,10,0,0,Neutral,65,Institutional Support
J,92.37,0.61,3.28,115.91,10,0,0,Neutral,65,Institutional Support
JBHT,78.19,20.46,3.58,75.02,10,0,0,Neutral,60,Institutional Support
JBL,99.19,1.33,4.07,103.5,10,0,0,Neutral,65,Institutional Support
JCI,95.94,0.19,2.6,607.99,10,0,0,Neutral,70,Strong Institutional Support
JKHY,99.84,0.59,4.8,71.88,10,0,0,Neutral,65,Institutional Support
JNJ,75.42,0.05,0.89,2405.58,10,0,0,Neutral,65,Institutional Support
JNPR,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
JPM,74.3,0.38,0.75,2681.88,10,0,0,Neutral,65,Institutional Support
K,87.64,0.51,3.54,343.08,10,0,0,Neutral,65,Institutional Support
KDP,93.75,4.96,3.37,1218.26,10,0,0,Neutral,65,Institutional Support
KEY,91.62,0.28,2.64,1098.12,10,0,0,Neutral,70,Strong Institutional Support
KEYS,92.67,0.6,1.97,170.68,10,0,0,Neutral,70,Strong Institutional Support
KHC,61.58,27.85,7.43,852.39,10,0,0,Neutral,60,Institutional Support
KIM,98.32,2.15,4.83,661.15,10,0,0,Neutral,65,Institutional Support
KKR,62.3,23.59,1.54,684.48,10,0,0,Neutral,65,Institutional Support
KLAC,94.27,0.1,2.59,130.76,10,0,0,Neutral,70,Strong Institutional Support
